name,@lat,@lon,type
Circle K & Minimart,34.0573651,-117.190777,fuel
Arco,34.0485747,-117.225608,fuel
,34.0414025,-117.1563439,fuel
Arco,37.7684682,-122.420268,fuel
Valley Oil,37.381165,-122.0701271,fuel
Chevron,34.1032728,-118.237237,fuel
Mountain View Arco,37.4060647,-122.078426,fuel
76,37.8373034,-122.2503714,fuel
Car Service,37.8407536,-122.2372221,fuel
Chevron,37.8404305,-122.2615441,fuel
Mobil,37.8394465,-122.270015,fuel
Fuel 24:7,37.8400252,-122.2701261,fuel
Shell,37.7755014,-122.23345,fuel
Chevron,37.8255858,-122.209751,fuel
Chevron,37.8579312,-122.244121,fuel
Shell,37.843802,-122.2468398,fuel
Chevron,37.5803881,-122.3341399,fuel
Chevron,37.5872485,-122.363417,fuel
Chevron,37.5876457,-122.362391,fuel
Shell,37.578398,-122.337184,fuel
Valero,37.5888025,-122.3627943,fuel
Shell,37.3731217,-122.087399,fuel
Chevron,32.8670766,-117.215852,fuel
World,32.8548259,-117.2041575,fuel
Shell,32.8543944,-117.204072,fuel
Mobil,32.8542675,-117.2049467,fuel
,32.8227832,-117.1843763,fuel
Clairemont Auto Care,32.8342381,-117.1950836,fuel
,32.8342381,-117.1944828,fuel
,32.8348112,-117.1950936,fuel
Chevron Mission Car Wash,34.0909625,-118.090371,fuel
Arco,37.6003825,-122.3831517,fuel
Patriot,40.0093833,-123.7905532,fuel
Arco,37.551753,-122.30565,fuel
Arco,34.0635637,-117.225543,fuel
Anthem Oil,34.0655247,-117.226481,fuel
Shell,34.0646722,-117.209207,fuel
Arco,38.546829,-121.7593854,fuel
,39.2662359,-123.2041124,fuel
,33.8798779,-118.1429756,fuel
Chevron,33.831782,-118.0875412,fuel
Chevron,33.7423831,-118.099086,fuel
,33.887245,-118.105441,fuel
,33.8890904,-118.1249503,fuel
Costco Gasoline,37.6405002,-122.4015096,fuel
Chevron,37.8554553,-122.266856,fuel
Telegas,37.8503362,-122.2607592,fuel
Arco,37.762147,-122.2442239,fuel
Lincoln Gas Station,37.7665265,-122.241209,fuel
Arco,37.3411416,-121.879584,fuel
,37.3540568,-122.0887173,fuel
Rotten Robbie #31,37.0210099,-121.569417,fuel
76,37.3524507,-122.031886,fuel
Chevron,37.0008405,-121.56538,fuel
7-Eleven,37.3406292,-121.8806554,fuel
Chevron,37.3775792,-122.1177536,fuel
Shell,36.9848483,-121.5561206,fuel
76,38.835262,-121.1693282,fuel
Chevron,38.8359883,-121.16804,fuel
Chevron,37.8852816,-122.2745283,fuel
Chevron,37.7181821,-122.472938,fuel
Shell,37.7177867,-122.442783,fuel
Chevron,36.8491522,-121.4023888,fuel
Golden Eagle,37.1248933,-121.650172,fuel
Quest Mart,39.1594319,-123.2085626,fuel
Chevron,34.1030456,-118.073949,fuel
Mobil,34.1034245,-118.073091,fuel
76,34.1225451,-118.07328,fuel
Arco,34.1499462,-118.0729796,fuel
76 Gas Station,37.100976,-121.6241447,fuel
,37.1445217,-121.6651215,fuel
76,37.5886437,-122.3606694,fuel
Valero,37.9921072,-122.3002441,fuel
Shell,37.9884083,-122.311592,fuel
Speedway,37.9791939,-122.2956962,fuel
Golden Gate Petroleum,37.9605327,-122.2833288,fuel
Shell,37.9644305,-122.317849,fuel
City Gilroy Gas Station,37.0131743,-121.582159,fuel
Chevron,37.9866117,-122.317717,fuel
,37.9786311,-122.3320017,fuel
,37.9630804,-122.3250443,fuel
,37.976607,-122.3130014,fuel
Shell,37.5963082,-122.365114,fuel
Ranier's Service Station,37.4544367,-122.1295901,fuel
Arco,37.566539,-122.0227705,fuel
76,37.5681989,-122.0261522,fuel
76,37.9021882,-122.3043584,fuel
R&R,37.9016186,-122.298693,fuel
Shell,34.1778393,-118.318237,fuel
Shell,37.8023325,-122.2826185,fuel
Chevron,37.8088881,-122.2754492,fuel
Mission 76,34.0914214,-118.0912003,fuel
Circle K,34.3973101,-118.911528,fuel
7-Eleven,34.3958653,-118.922952,fuel
Shell,34.395178,-118.927553,fuel
Chevron,38.386672,-122.7140874,fuel
Rotten Robbie,38.3874457,-122.715434,fuel
Shell,38.9037988,-121.0758355,fuel
Shell,37.7403703,-122.423609,fuel
Shell,38.9182749,-121.0598209,fuel
Valero,34.0631935,-117.1909435,fuel
Shell,33.6662881,-117.8820081,fuel
,33.6797403,-117.9080613,fuel
Chevron,37.4294093,-122.2506126,fuel
76,33.5265253,-117.712213,fuel
USA Gasoline,34.1032054,-118.0775016,fuel
Shell,34.1300433,-118.072831,fuel
Aria,37.3216867,-122.0682149,fuel
76,34.1031384,-118.0994885,fuel
76,34.1499369,-118.073744,fuel
,38.8872665,-121.0162696,fuel
Shell,34.8518589,-117.083441,fuel
Chevron,34.2454933,-118.4219588,fuel
76,37.5844628,-122.3663721,fuel
Shell,33.8325235,-118.099333,fuel
#1 Gas,37.8730923,-122.273378,fuel
Shell,37.3781204,-122.0751723,fuel
Valero,36.9843969,-121.9567864,fuel
Chevron,36.9825909,-121.956502,fuel
Shell,34.0575158,-117.180712,fuel
Shell,37.7815425,-122.451844,fuel
,38.5488231,-121.7341586,fuel
Shell,36.9797568,-122.021694,fuel
Arco,36.9745011,-121.887701,fuel
76,36.9722889,-122.0357725,fuel
Rotten Robbie,36.9636595,-122.043188,fuel
Valero,36.9622061,-122.045279,fuel
Pilot,37.0187478,-120.132625,fuel
Shell,36.9761583,-120.074483,fuel
,38.7362476,-122.1445583,fuel
Sav On Gasoline,36.9843708,-122.0234614,fuel
Valero,36.9835434,-122.0231448,fuel
Costco Gasoline,36.9847207,-122.0359603,fuel
76 Gas,37.7792862,-122.4984557,fuel
APCO Gasoline,36.9647237,-122.0417582,fuel
Valero,38.331753,-122.7146201,fuel
7-Eleven,33.8029936,-116.9725849,fuel
Exxon,33.7478896,-117.007111,fuel
Pemex,33.7477511,-116.977713,fuel
Speedway,37.2944982,-121.9656828,fuel
Chevron,37.8396119,-122.2897069,fuel
76,37.6313191,-122.0892764,fuel
Exxon,37.9115425,-122.308443,fuel
,37.9256737,-122.3190269,fuel
,37.9262491,-122.3193873,fuel
,36.7602868,-121.7501547,fuel
Chevron,38.5401828,-121.7317359,fuel
Shell,38.5408685,-121.7380166,fuel
Chevron,37.7809712,-122.458522,fuel
Devco Oil,36.9863649,-122.0317856,fuel
Z Ma Self Service Gasoline,36.9792673,-121.9912244,fuel
Chevron,37.7130588,-121.7237447,fuel
Gas & Shop,37.711389,-121.7251667,fuel
,37.7174032,-121.7237294,fuel
SP,37.8753686,-122.2944486,fuel
Mobil,37.8682313,-122.2951245,fuel
Valero,37.5958635,-122.503307,fuel
Chevron,37.6139846,-122.4864181,fuel
Shell,37.4239289,-122.1959086,fuel
,37.6045821,-122.3792687,fuel
7-Eleven,37.6597649,-122.4775503,fuel
Chevron,38.560495,-121.7588959,fuel
Chevron,38.4094884,-121.405634,fuel
Shell,38.2342168,-122.645357,fuel
76,36.7919778,-121.6667053,fuel
Chevron,36.791454,-121.6684526,fuel
Shell,37.0427054,-122.025463,fuel
Shell,37.0430802,-122.0246677,fuel
Arco,38.7720282,-121.3134594,fuel
Speedway,39.7523218,-122.2084107,fuel
Shell,38.1150084,-121.394186,fuel
76,38.1139743,-121.3939446,fuel
76,37.8963852,-121.2813162,fuel
,37.854446,-121.2767677,fuel
Chevron,37.5403772,-121.2657681,fuel
