name,@lat,@lon,type
Wilbur Hot Springs,39.0387911,-122.4211541,hotel
Dana Point Harbor Inn,33.4649032,-117.688786,motel
River Bend Lodge,33.8619634,-114.5282903,hotel
Juniper Lodge,41.7601493,-122.061953,hotel
Altadena Lodge,34.1725209,-118.0884025,hotel
Elkhorn Lodge,34.494715,-118.3098011,hotel
Laurel Springs Lodge,34.50694,-119.7959737,hotel
Breckenridge Lodge,35.4660671,-118.6106436,hotel
The Lodge,36.8102275,-119.7506995,hotel
,32.8011312,-117.258623,hotel
Buckhorn Motel,34.2381617,-117.6563031,motel
Buckhorn Lodge,34.2384709,-117.6552233,motel
Merrybrook Lodge,37.1255937,-122.1265317,motel
Coast Hotel,37.7858845,-122.4133559,hotel
Country Inn & Suites,34.0655411,-117.20961,hotel
Eunice Plaza Motel,34.0798435,-118.0533332,motel
BEST WESTERN Regency Inn,33.6815458,-117.988451,hotel
Hilton,34.1426927,-118.140912,hotel
Marriott's Desert Springs Villas II,33.7490719,-116.359008,hotel
The Beach Cottages,32.79297,-117.255362,hotel
Sheraton Carlsbad Resort and Spa,33.1323974,-117.3101821,hotel
Synergy at Mira Bella,32.806763,-117.149407,hotel
Hilton MarBrisa Resort,33.131738,-117.311918,hotel
,33.174783,-117.36143,motel
Bayview Inn,32.675484,-117.106411,hotel
Western Inn & Suites,32.749708,-117.194538,motel
Travel Time Motel,32.757803,-117.0777905,motel
Harvey's Motel,32.7692516,-117.0435849,motel
Hilton Garden Inn,33.025666,-117.077236,hotel
"Red Roof Inn - Pacific Beach, San Diego",32.803812,-117.216901,hotel
Extended Stay America - San Diego - Fashion Valley,32.77864,-117.161789,hotel
Carlsbad by the Sea Resort,33.1238799,-117.320658,hotel
Quality Inn San Diego Downtown North,32.7247328,-117.161441,hotel
Escondido Lodge,33.088308,-117.071174,hotel
Howard Johnson Inn And Suites San Diego Area/Chula Vista,32.6391969,-117.097032,hotel
PB Surf Beachside Inn,32.800534,-117.256969,motel
Navajo Lodge,32.7583684,-117.0735686,motel
Cassia Hotels,32.67857,-117.1089288,hotel
Courtyard San Diego El Cajon,32.796079,-116.961896,hotel
The Pearl Hotel,32.725349,-117.228983,hotel
The Shoal La Jolla Beach,32.8299659,-117.277507,motel
Orli La Jolla,32.84378,-117.277084,hotel
Sonesta ES Suites,32.990032,-117.075396,hotel
Beachcomber Shores,32.8089152,-117.2571304,hotel
Rodeway Inn San Diego Beach SeaWorld Area,32.8018269,-117.2139484,motel
Pacific View Inn,32.798382,-117.257151,motel
The Seabird Resort,33.19387,-117.382584,hotel
West Park Inn,32.724522,-117.161439,hotel
Lakehouse Hotel and Golf Resort,33.1248362,-117.2079091,hotel
Courtyard San Diego Solana Beach/Del Mar,32.982896,-117.270353,hotel
Old Town Inn,32.7518995,-117.2007534,hotel
La Mesa Lodge,32.769278,-117.025692,motel
Holiday Inn Express,32.720434,-117.158677,hotel
Zephyr,32.780181,-117.099546,motel
Diamond Head Inn,32.798952,-117.257347,motel
Clarion Hotel National City San Diego South,32.676158,-117.107641,hotel
Wyndham Oceanside Pier Resort,33.195074,-117.38377,hotel
,33.6268276,-117.9495661,motel
Stanford Inn by the Sea,39.2998045,-123.7908591,hotel
Oceanside Inn,33.7193364,-118.0724165,motel
Shorebreak Hotel,33.6581642,-118.0026273,hotel
Laguna Beach Motor Inn,33.5472035,-117.7975376,motel
The Ranch at Laguna Beach,33.5129223,-117.748146,hotel
Quality Inn & Suites,33.4581738,-117.67164,hotel
C-Vu Motel,33.4117105,-117.6005327,motel
Garvey Inn,34.0622029,-118.1084947,motel
La Vista Inn Motel,33.4112042,-117.6003949,motel
Hotel Abri,37.7851927,-122.4083668,hotel
Del Mar Motel,34.0485207,-118.098635,motel
Residence Inn,33.4871804,-117.67385,hotel
DoubleTree,33.9115256,-118.070834,hotel
American Inn & Suites,33.8422599,-117.8324018,motel
,37.5037255,-122.4845693,hotel
Win All E - Z Inn,34.0780734,-118.0524809,motel
Budget Inn,34.0783022,-118.0520029,motel
Temecula Creek Inn,33.4672125,-117.1317602,hotel
Residence Inn Oxnard River Ridge,34.2298749,-119.200262,hotel
Casa de Fruta Motel,36.9929525,-121.379159,motel
Hotel Union Square,37.785799,-122.407741,hotel
The Andrews Hotel,37.7879207,-122.412263,hotel
Courtyard San Francisco Airport Hotel,37.6304771,-122.4196952,hotel
Herbert Hotel,37.7862332,-122.4081436,hotel
,33.1459151,-117.2422697,hotel
Best Western,33.5139705,-117.1587906,hotel
Star Motel,37.8003764,-122.4302007,motel
Edward II Inn,37.7989968,-122.4411247,hotel
Wills Fargo Motel,35.267999,-116.0718998,motel
,33.4617564,-117.6963287,hotel
,34.1462715,-118.1070852,motel
Zinkes Drive Inn,34.1456292,-118.138092,hotel
,34.0315869,-117.6278469,motel
Tioga Lodge,37.9899492,-119.1419348,hotel
Glen Oaks Motel,36.2644609,-121.8010183,motel
The Mohave,33.717661,-116.378784,motel
,38.5752356,-121.3053356,hotel
Courtyard,38.5880173,-121.290208,hotel
The View,34.0643064,-118.1539334,motel
Sunnyside Hotel,37.78056,-122.407985,hotel
Courtyard,37.7854586,-122.4210781,hotel
The Disneyland Hotel,33.8093792,-117.9269321,hotel
Embassy Suites,33.6796925,-116.3026176,hotel
Kingsway Motel,37.5241877,-122.2807899,motel
Ridgewood,39.3410129,-123.3158884,motel
Comfort Suites,33.7625201,-116.301914,hotel
The Robinhood Resort,34.2434872,-116.911715,hotel
Edgewater Resort & Lakefront Suites,34.2436894,-116.9168474,motel
Cambria Beach Lodge,35.572302,-121.112037,hotel
Moonstone Inn,35.5702401,-121.1105847,hotel
The Bluebird Inn,35.563028,-121.085587,hotel
The Villas at Disney's Grand Californian Hotel,33.8069162,-117.9227207,hotel
Mt. Vernon Inn,33.1270833,-117.091851,motel
Red Roof Inn San Dimas - Fairplex,34.1097352,-117.822156,hotel
,34.1074011,-117.8176937,hotel
Best Western El Rancho Motor Inn,33.9281907,-116.975952,hotel
The Fitzgerald Hotel,37.7879379,-122.412121,hotel
Floral Inn,34.0451015,-118.1615753,motel
Budgetel River Inn,40.5852912,-122.375434,hotel
,34.0556562,-117.6692318,motel
,36.7725026,-119.8411417,motel
DoubleTree by Hilton Hotel Campbell - Pruneyard Plaza,37.2893734,-121.933495,hotel
Econo Lodge North Parkway Drive,36.7488483,-119.825166,motel
Crowne Plaza Palo Alto,37.4059857,-122.121416,hotel
Americas Best Value Inn,34.894768,-117.043484,motel
The Norconian (historical),33.9289998,-117.5694519,hotel
Quality Inn,34.1464563,-118.082713,hotel
Water's Edge,37.8731755,-122.4563742,hotel
,39.1734239,-121.0534465,motel
Harrah's Rincon Casino & Resort,33.2673211,-116.9553613,hotel
,34.9708262,-120.4358875,hotel
Quality Inn & Suites,34.9513041,-120.416098,hotel
,33.9468407,-117.002431,hotel
,33.2560298,-116.398725,hotel
,33.4747616,-117.720366,hotel
Nick's Cove Cottages,38.1988486,-122.920488,hotel
,34.3890726,-118.5363851,motel
Kokanee Kabins,39.5669634,-120.6673582,motel
,35.6250067,-120.6888426,hotel
,35.4492994,-120.9057413,hotel
,34.2795586,-118.4703787,hotel
,35.6257215,-120.6916122,hotel
Proper,34.0214015,-118.494992,hotel
Gerstle Park Inn,37.9647222,-122.5350547,hotel
,34.9310843,-120.4355042,motel
,34.9240263,-120.4362898,motel
,34.9192149,-120.4352912,motel
,34.9267637,-120.4352293,motel
,35.6513062,-120.6932284,motel
,35.6412396,-120.6873833,motel
Aztec Hotel,34.151536,-118.0057963,hotel
,36.285225,-119.7997981,motel
Villager Inn,36.5629964,-119.6135616,motel
Best Western,36.5740604,-119.625755,hotel
"Aegis Garden, assisted living",37.563625,-122.018845,hotel
Riverfront Cabins,36.4353504,-118.906435,motel
Riverside Inn & Cabins,36.4739909,-118.8526969,motel
Mayflower Hotel,37.7894823,-122.4132914,hotel
Metro Hotel,37.7724581,-122.4374608,hotel
,35.7484954,-120.6991612,motel
,33.6613156,-115.7211067,motel
Handlery Union Square Hotel,37.7871536,-122.4090794,hotel
Best Western,36.6399386,-120.6263306,motel
